gene_id,NC-1_FPKM,NC-2_FPKM,NC-3_FPKM,si-hnrnpa2b1-1_FPKM,si-hnrnpa2b1-2_FPKM,si-hnrnpa2b1-3_FPKM,NC-1_count,NC-2_count,NC-3_count,si-hnrnpa2b1-1_count,si-hnrnpa2b1-2_count,si-hnrnpa2b1-3_count
ENSRNOG00000008577,10.36029451,9.597900235,10.93804881,10.77556593,10.34250663,10.86942816,649,572,719,731,678,712
ENSRNOG00000000765,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000767,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000763,7.439950871,8.551452504,9.309403819,8.01517226,7.16731688,8.416414483,246,269,323,287,248,291
ENSRNOG00000038269,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000038267,0,0.072380217,0,0,0.065790084,0,0,1,0,0,1,0
ENSRNOG00000006037,0,0.064734861,0,0,0,0,0,2,0,0,0,0
ENSRNOG00000006035,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000006033,0.150941179,0.118995381,0.287684787,0.278764643,0.036053664,0.036073428,4,3,8,8,1,1
ENSRNOG00000006032,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000006030,18.49426901,20.28700433,17.84044021,21.90346161,22.98681027,22.34603796,2042,2131,2067,2619,2656,2580
ENSRNOG00000056726,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000056725,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000056722,0,0.157573793,0.142892717,0,0,0.35840524,0,2,2,0,0,5
ENSRNOG00000056723,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000056720,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000056721,3.398400266,3.11685851,3.327513414,3.070438617,3.349342364,3.205325924,510,445,524,499,526,503
ENSRNOG00000056728,82.19172935,85.60810432,83.45391282,80.72667358,77.08456971,79.65841835,2750,2725,2930,2925,2699,2787
ENSRNOG00000056729,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000036900,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000012770,0,0,0,0,0,0,0,0,0,0,0,0
